STORE_NBR,MONTH,TOTAL_SALES,TOTAL_CUSTOMERS,TOTAL_TRANSACTIONS,AVG_TXN_PER_CUSTOMER,AVG_SPEND_PER_CUSTOMER,AVG_UNITS_PER_TXN
1,2018-07-01,206.9,49,52,1.0612244897959184,4.222448979591837,1.1923076923076923
1,2018-08-01,176.1,42,43,1.0238095238095237,4.192857142857143,1.255813953488372
1,2018-09-01,278.8,59,62,1.0508474576271187,4.72542372881356,1.2096774193548387
1,2018-10-01,188.1,44,45,1.0227272727272727,4.2749999999999995,1.288888888888889
1,2018-11-01,192.6,46,47,1.0217391304347827,4.1869565217391305,1.2127659574468086
1,2018-12-01,189.6,42,47,1.119047619047619,4.514285714285714,1.2127659574468086
1,2019-01-01,154.8,35,36,1.0285714285714285,4.4228571428571435,1.1666666666666667
1,2019-02-01,225.4,52,55,1.0576923076923077,4.334615384615384,1.1818181818181819
1,2019-03-01,192.9,45,49,1.0888888888888888,4.286666666666667,1.183673469387755
1,2019-04-01,192.9,42,43,1.0238095238095237,4.592857142857143,1.3255813953488371
1,2019-05-01,221.4,46,51,1.108695652173913,4.8130434782608695,1.2941176470588236
1,2019-06-01,174.1,42,42,1,4.145238095238095,1.2619047619047619
2,2018-07-01,150.8,39,41,1.0512820512820513,3.866666666666667,1.1219512195121952
2,2018-08-01,193.8,39,43,1.1025641025641026,4.969230769230769,1.2790697674418605
2,2018-09-01,154.4,36,37,1.0277777777777777,4.288888888888889,1.1081081081081081
2,2018-10-01,167.8,41,43,1.048780487804878,4.092682926829268,1.0465116279069768
2,2018-11-01,162.9,39,40,1.0256410256410255,4.176923076923077,1.1
2,2018-12-01,136,35,37,1.0571428571428572,3.8857142857142857,1.0810810810810811
2,2019-01-01,162.8,43,45,1.0465116279069768,3.7860465116279074,1.0888888888888888
2,2019-02-01,139.4,29,32,1.103448275862069,4.806896551724138,1.15625
2,2019-03-01,192.1,43,46,1.069767441860465,4.467441860465116,1.108695652173913
2,2019-04-01,196.5,47,49,1.0425531914893618,4.180851063829787,1.1428571428571428
2,2019-05-01,192.7,48,50,1.0416666666666667,4.014583333333333,1.12
2,2019-06-01,156.6,40,42,1.05,3.915,1.0476190476190477
3,2018-07-01,1205.7,112,138,1.2321428571428572,10.765178571428573,1.963768115942029
3,2018-08-01,1079.75,112,131,1.1696428571428572,9.640625,1.9312977099236641
3,2018-09-01,1021.5,102,119,1.1666666666666667,10.014705882352942,1.949579831932773
3,2018-10-01,1037.9,104,119,1.1442307692307692,9.979807692307693,1.9747899159663866
3,2018-11-01,1008,101,118,1.1683168316831682,9.98019801980198,1.923728813559322
3,2018-12-01,1121.6,111,129,1.162162162162162,10.104504504504504,1.9767441860465116
3,2019-01-01,1051.7,102,119,1.1666666666666667,10.31078431372549,1.9831932773109244
3,2019-02-01,1197.7,116,136,1.1724137931034482,10.325000000000001,2
3,2019-03-01,1124.4,109,129,1.18348623853211,10.31559633027523,1.9767441860465116
3,2019-04-01,920,90,108,1.2,10.222222222222221,1.9166666666666667
3,2019-05-01,996.9,108,123,1.1388888888888888,9.230555555555556,1.9024390243902438
3,2019-06-01,1037.3,105,120,1.1428571428571428,9.879047619047618,1.9833333333333334
4,2018-07-01,1399.9,128,158,1.234375,10.93671875,2.0126582278481013
4,2018-08-01,1259.5,123,150,1.2195121951219512,10.239837398373984,1.9333333333333333
4,2018-09-01,1198.6,119,136,1.1428571428571428,10.072268907563025,2.0294117647058822
4,2018-10-01,1346.4,123,153,1.2439024390243902,10.946341463414635,2.026143790849673
4,2018-11-01,1212,118,138,1.1694915254237288,10.271186440677965,2.0144927536231885
4,2018-12-01,1185.6,104,133,1.2788461538461537,11.399999999999999,2
4,2019-01-01,1525,134,167,1.2462686567164178,11.380597014925373,2.0059880239520957
4,2019-02-01,883.4,91,101,1.10989010989011,9.707692307692307,2.01980198019802
4,2019-03-01,1192.4,118,135,1.1440677966101696,10.105084745762712,2
4,2019-04-01,1230.5,116,136,1.1724137931034482,10.607758620689655,2.0073529411764706
4,2019-05-01,1018.35,105,126,1.2,9.698571428571428,1.8095238095238095
4,2019-06-01,1196,118,134,1.1355932203389831,10.135593220338983,2
5,2018-07-01,812,93,120,1.2903225806451613,8.731182795698924,2
5,2018-08-01,745.1,97,112,1.1546391752577319,7.681443298969072,1.9017857142857142
5,2018-09-01,896,101,125,1.2376237623762376,8.871287128712872,2
5,2018-10-01,798,88,107,1.2159090909090908,9.068181818181818,2
5,2018-11-01,771.4,85,111,1.3058823529411765,9.075294117647058,2
5,2018-12-01,879.2,95,125,1.3157894736842106,9.254736842105263,2
5,2019-01-01,838,92,117,1.2717391304347827,9.108695652173912,2.017094017094017
5,2019-02-01,727,87,106,1.2183908045977012,8.35632183908046,2
5,2019-03-01,681.4,82,97,1.1829268292682926,8.309756097560975,2
5,2019-04-01,721.8,86,109,1.2674418604651163,8.393023255813953,2
5,2019-05-01,720.1,84,103,1.2261904761904763,8.572619047619048,1.9514563106796117
5,2019-06-01,910.8,102,126,1.2352941176470589,8.929411764705883,2.015873015873016
6,2018-07-01,260,48,51,1.0625,5.416666666666667,1.4313725490196079
6,2018-08-01,203.2,44,47,1.0681818181818181,4.618181818181818,1.425531914893617
6,2018-09-01,207.70000000000002,38,38,1,5.465789473684211,1.5
6,2018-10-01,292.4,52,54,1.0384615384615385,5.623076923076923,1.5185185185185186
6,2018-11-01,255.3,50,51,1.02,5.106,1.4509803921568627
6,2018-12-01,209.1,38,41,1.0789473684210527,5.502631578947368,1.3902439024390243
6,2019-01-01,191.1,35,37,1.0571428571428572,5.46,1.3783783783783783
6,2019-02-01,224,40,40,1,5.6,1.575
6,2019-03-01,179.5,39,40,1.0256410256410255,4.602564102564102,1.325
6,2019-04-01,197.9,37,38,1.027027027027027,5.348648648648648,1.4210526315789473
6,2019-05-01,257.3,49,53,1.0816326530612246,5.251020408163265,1.471698113207547
6,2019-06-01,207.4,39,40,1.0256410256410255,5.317948717948718,1.475
7,2018-07-01,1024.7,100,120,1.2,10.247,1.9
7,2018-08-01,1119.9,109,130,1.1926605504587156,10.274311926605506,1.9384615384615385
7,2018-09-01,1147.3,111,128,1.1531531531531531,10.336036036036036,1.96875
7,2018-10-01,1063.9,108,124,1.1481481481481481,9.850925925925926,1.8870967741935485
7,2018-11-01,1076.5,111,129,1.162162162162162,9.698198198198199,1.9224806201550388
7,2018-12-01,906.1,95,112,1.1789473684210525,9.537894736842105,1.9017857142857142
7,2019-01-01,975.1,102,113,1.107843137254902,9.559803921568628,1.9557522123893805
7,2019-02-01,1026.4,98,120,1.2244897959183674,10.473469387755102,1.95
7,2019-03-01,1145.8,123,138,1.1219512195121952,9.315447154471544,1.9057971014492754
7,2019-04-01,942.4,85,108,1.2705882352941176,11.08705882352941,1.9537037037037037
7,2019-05-01,969.2,100,122,1.22,9.692,1.8032786885245902
7,2019-06-01,1089.6,108,128,1.1851851851851851,10.088888888888889,1.921875
8,2018-07-01,381.6,40,43,1.075,9.540000000000001,1.9767441860465116
8,2018-08-01,383,46,46,1,8.326086956521738,1.891304347826087
8,2018-09-01,293,36,36,1,8.13888888888889,1.9444444444444444
8,2018-10-01,422.8,45,49,1.0888888888888888,9.395555555555555,2
8,2018-11-01,349.2,39,40,1.0256410256410255,8.953846153846154,2
8,2018-12-01,356.4,36,40,1.1111111111111112,9.899999999999999,1.975
8,2019-01-01,445,47,50,1.0638297872340425,9.46808510638298,2
8,2019-02-01,345.4,37,38,1.027027027027027,9.335135135135134,2
8,2019-03-01,441.40000000000003,48,51,1.0625,9.195833333333335,2.0392156862745097
